12.01.1.01	अयं वै᳘ यज्ञोॗ योऽयं प᳘वते ॥      त᳘मेत᳘ऽईप्सन्ति ये᳘ संवत्सरा᳘य दी᳘क्षन्ते ते᳘षां गृह᳘पतिः प्रथमो᳘ दीक्षतेऽयं वै᳘ लोको᳘ गृह᳘पतिरस्मिन्वै᳘ लोक᳘इदᳫं स᳘र्वं प्र᳘तिष्ठितं गृह᳘पताऽउ वै स᳘सत्त्रिणः प्र᳘तिष्ठिताः प्रतिष्ठा᳘यामेॗवैत᳘त्प्रतिष्ठा᳘य दीक्षन्ते ॥    
12.01.1.02	अ᳘थ ब्रह्मा᳘णं दीक्षयति ।      चन्द्र᳘मा᳘ वै᳘ ब्रह्मा सो᳘मो वै᳘ चन्द्र᳘माः सौम्या ओ᳘षधय ओ᳘षधीस्त᳘दने᳘न लोके᳘न सं᳘दधाति त᳘स्मादेताव᳘᳘न्तरेणान्यो न᳘ दीक्षेत स य᳘द्वैताव᳘न्तरेणान्यो दी᳘क्षेतौ᳘षधीस्त᳘दने᳘न लोके᳘न ना᳘नाकुर्यादुछो᳘षुका ह स्युस्त᳘स्मादेताव᳘न्तरेणान्यो न᳘ दीक्षेत ॥  
12.01.1.03	अ᳘थोद्गाता᳘रं दीक्षयति ॥      पर्ज᳘न्यो वा᳘ऽउद्गाता᳘ पर्ज᳘न्यादु वै वृ᳘ष्टिर्जायते वृ᳘ष्टिं तदो᳘षधिभ्यः सं᳘दधाति त᳘स्मादेताव᳘न्तरेणान्यो न᳘ दीक्षेत स य᳘द्धैताव᳘न्तरेणान्यो दी᳘क्षेत वृ᳘ष्टिं तदो᳘षधिभिर्ना᳘नाकुर्याद᳘वर्षुको ह स्यात्त᳘स्मादेताव᳘न्तरेणान्यो न᳘ दीक्षेत ॥   
12.01.1.04	अ᳘थ हो᳘तारं दीक्षयति ॥      अग्निर्वै हो᳘ताधिदेवतं वा᳘गध्यात्मम᳘न्नं वृ᳘ष्टिरग्निं᳘ च तद्वा᳘चं चा᳘न्नेन सं᳘दधाति त᳘स्मादेतावन्तरेणान्यो न᳘ दीक्षेत स य᳘द्धैताव᳘न्तरेणान्यो दी᳘क्षेतग्निं च तद्वा᳘चं चा᳘न्नेन ना᳘नाकुर्यादशना᳘युका ह स्युस्त᳘स्मादेताव᳘न्तरेणान्यो न᳘ दीक्षेतैतां᳘श्चतु᳘रोऽध्वर्यु᳘र्दीक्षयति ॥  
12.01.1.05	अ᳘थाध्वर्युं᳘ प्रतिप्रस्थाता᳘ दीक्षयति ॥      म᳘नो वा᳘ऽअध्वर्युर्वाग्घो᳘ता म᳘नश्च तद्वा᳘चं च सं᳘दधाति त᳘स्मादेताव᳘न्तरेणान्यो न᳘ दीक्षेत स य᳘द्धैताव᳘न्तरेणान्यो दी᳘क्षेत म᳘नश्च तद्वा᳘चं च ना᳘नाकुर्या᳘त्प्रमा᳘युका ह स्युस्त᳘स्मादेताव᳘न्तरेणान्यो न᳘ दीक्षेत ॥  
12.01.1.06	अ᳘थ ब्रह्म᳘णे ब्राह्मणाछᳫंसि᳘नं दीक्षयति ॥      तᳫं हि सोऽन्व᳘थोद्गात्रे᳘ प्रस्तोता᳘रं दीक्षयति तᳫं हि सोऽन्व᳘थ हो᳘त्रे मैत्रावरुणं᳘ दीक्षयति तᳫं हि सो᳘ऽन्वेतां᳘श्चतु᳘रः प्रतिप्रस्थाता᳘ दीक्षयति ॥  
12.01.1.07	अथा᳘ध्वर्य᳘वे प्रतिप्रस्थाता᳘रं ने᳘ष्टा दीक्षयति ॥      तᳫं हि सो᳘ऽन्वेते᳘षां वै नवा᳘नां᳘ क्लृ᳘प्तिमन्वि᳘तरे कल्पन्ते न᳘व वै᳘ प्राणाः᳘ प्राणा᳘नेॗवैष्वेत᳘द्दधाति त᳘था स᳘र्वमा᳘युर्य᳘न्ति त᳘थो ह न᳘ पुरा᳘युषोऽस्मा᳘ल्लोकात्प्र᳘यन्ति ॥  
12.01.1.08	अ᳘थ ब्रह्म᳘णे पो᳘तारं दीक्षयति ॥      तᳫं हि सोऽन्व᳘थोद्गात्रे᳘ प्रतिहर्ता᳘रं दीक्षयति तᳫं हि सोऽन्व᳘थ हो᳘त्रेऽछावाकं᳘ दीक्षयति तᳫं हि सो᳘ऽन्वेतां᳘श्चतु᳘रो नेष्टा᳘ दीक्षयति ॥  
12.01.1.09	अथाध्वर्य᳘वे ने᳘ष्टारमुन्नेता᳘ दीक्षयति ॥      तᳫं हि सोऽन्व᳘थ ब्रह्म᳘णाऽआग्नीध्रं दीक्षयति तᳫं हि सोऽन्व᳘थोद्गात्रे᳘ सुब्रह्मण्यां᳘ दीक्षयति तᳫं हि सोऽन्व᳘थ हो᳘त्रे ग्रावस्तु᳘तं दीक्षयति तᳫं हि सो᳘ऽन्वेतां᳘श्चतु᳘र उन्नेता᳘ दीक्षयति ॥  
12.01.1.10	अ᳘थोन्नेता᳘रᳫं ॥      स्ना᳘तको वा ब्रह्मचारी᳘ वान्यो᳘ वा᳘दीक्षितो दीक्षयति न᳘ पूतः᳘ पा᳘वयेदितिॗ ह्याहुःॗ सैॗषानुपूर्वदीक्षा स य᳘त्र हैवं᳘ विद्वा᳘ᳫं᳘सो दी᳘क्षन्ते दीक्षमाणा हैव ते᳘ यज्ञं᳘ कल्पयन्ति यज्ञ᳘स्य क्लृप्तिम᳘नु सत्त्रि᳘णां योगक्षेमः᳘ कल्पते सत्त्रि᳘णां योगक्षेम᳘स्य क्लृप्तिमन्व᳘पि तस्या᳘र्धस्य योगक्षेमः᳘ कल्पते य᳘स्मिन्न᳘र्धे य᳘जन्ते ॥  
12.01.1.11	ते᳘षां᳘ वा᳘ऽउन्नेॗतोत्तमो दी᳘क्षते ॥      प्रथॗमोऽवभृथा᳘दुदायता᳘मुदै᳘ति प्राणो वा᳘ऽउन्नेता᳘ प्राण᳘मेॗवैष्वेत᳘दुभय᳘तो दधाति त᳘था स᳘र्वमा᳘युर्यन्ति त᳘थो ह न᳘ पुरा᳘युषोऽस्मा᳘ल्लोकात्प्र᳘यन्तिॗ सैॗषानुपूर्वदीक्षा᳘ स य᳘त्र हैवं᳘ विद्वा᳘ᳫं᳘सो दी᳘क्षेरंस्त᳘देव᳘ दीक्षेत ॥१॥     
12.01.2.01	श्रद्धा᳘या वै᳘ देवाः᳘ ॥      दीक्षां नि᳘रमिमता᳘दित्यै प्रायणी᳘यᳫं सो᳘मात्क्रयं वि᳘ष्णोरातिथ्य᳘मादित्या᳘त्प्रव᳘र्ग्यᳫं स्वधा᳘या उपस᳘दोऽग्नीषो᳘माभ्यामुपवसथ᳘मस्मा᳘ल्लोका᳘त्प्रायणी᳘यमतिरा᳘त्र᳘ᳫं᳘ ॥  
12.01.2.02	संवत्सरा᳘च्चतुर्विशम᳘हः ॥      ब्र᳘ह्मणोऽभिप्लवं᳘ क्षत्रात्पृ᳘ष्ठ्यमग्ने᳘रभिज्ञि᳘तमद्भ्यः स्व᳘रसाम्न आदित्या᳘द्विषुव᳘न्तमुक्ताः स्व᳘रसामान इ᳘न्द्राद्विश्वजि᳘तमुक्तौ᳘ पृष्ठ्याभिप्लवौ᳘ मित्राव᳘रुणाभ्यां गोऽआयु᳘षी वि᳘श्वेभ्यो देवे᳘भ्यो दशरात्रं᳘ दिग्भ्यो दा᳘शरात्रिकं पृ᳘ष्ठ्यᳫं षडह᳘मेभ्यो᳘ लोके᳘भ्यश्छन्दोमा᳘न् ॥  
